t_us,P_x1x2_00,P_x1x2_01,P_x1x2_10,P_x1x2_11,P_state_1110111,P_state_1101011,P_state_1110101,P_state_1110110
0.15765765765765766,0.9909936405051835,0.008925504044841737,8.013371269348299e-05,7.217372823632947e-07,5.251100506529891e-13,5.7896933911315436e-11,5.7950263961660703e-11,5.7950263961660703e-11
0.16016016016016016,0.9906992905760815,0.009214445986317302,8.546849590470824e-05,7.949416974655059e-07,6.383106339036326e-13,6.799812194455223e-11,6.807757324023998e-11,6.807757324023998e-11
0.16266266266266266,0.9904102379150695,0.009498008889020991,9.088163992804575e-05,8.715559830064321e-07,7.684762654170796e-13,7.925139695077909e-11,7.936496847959495e-11,7.936496847959495e-11
0.1651651651651652,0.9901272815554255,0.00977541718391485,9.635000436443524e-05,9.512562953025324e-07,9.160543076991291e-13,9.16748122186062e-11,9.183902845264206e-11,9.183902845264206e-11
0.16766766766766766,0.9898512011350461,0.01004591586666873,0.00010184933477926366,1.0336635066463208e-06,1.0801029894368714e-12,1.0526626562730511e-10,1.0550678974112898e-10,1.0550678974112898e-10
0.17017017017017017,0.9895827521622682,0.010308774999047162,0.00010735449224664894,1.1183464383382821e-06,1.2644440254876192e-12,1.2000021437987394e-10,1.2033065158573115e-10,1.2033065158573115e-10
0.17267267267267267,0.9893226613130798,0.010563294160667792,0.00011283970016884531,1.2048260830809958e-06,1.4710048284676032e-12,1.3582692338276451e-10,1.3625344681263566e-10,1.3625344681263566e-10
0.17517517517517517,0.9890716217730107,0.010808806838617699,0.00011827880726732685,1.2925811034200562e-06,1.696609678629515e-12,1.5267219633637018e-10,1.5321293708461987e-10,1.5321293708461987e-10
0.1776776776776777,0.9888302886667909,0.011044684716303762,0.0001236455625344185,1.3810543708870619e-06,1.936578871038336e-12,1.7043663102035607e-10,1.7113034098067454e-10,1.7113034098067454e-10
0.1801801801801802,0.9885992746011358,0.011270341839557095,0.00012891389870285663,1.4696606054058027e-06,2.190950085925905e-12,1.8899494243512746e-10,1.8988315224611604e-10,1.8988315224611604e-10
0.18268268268268267,0.9883791453421519,0.011485238642712312,0.0001340582203599156,1.557794777424309e-06,2.4633303466559927e-12,2.0819732168312937e-10,2.0930234142063697e-10,2.0930234142063697e-10
0.18518518518518517,0.988170415642712,0.0116888858231627,0.00013905369289418843,1.6448412319073962e-06,2.754147828770648e-12,2.2787293049303122e-10,2.2920303159897897e-10,2.2920303159897897e-10
0.18768768768768768,0.9879735452401486,0.011880848049172691,0.0001438765274013376,1.7301832777294465e-06,3.051187753296398e-12,2.4783490150028966e-10,2.494199636080113e-10,2.494199636080113e-10
